"Kati Ernst","Co-CEO and Co-Founder","ooshi"
"Louis Bô","Investment Manager","Idinvest Partners"
"Maximilian Tayenthal","Co-Founder & CFO","N26"
"Jean-Christophe Chopin","Founder & CEO","BORN"
"Antje Venjakob","CEO & Co-Founder","oculid"
"Sofie Quidenus-Wahlforss","CEO","Omnius."
"Christoph Rieche","Co-Founder & CEO","iwoca"
"Stefan Jeschonnek","Co-Founder & CEO","Zeitgold"
"Jenny von Podewils","Co-Founder","Leapsome"
"Thomas Staufenbiel","Managing Director","Gestalt Robotics"
"Robert Boehme","CEO","PTScientists"
"Andreas Von Buchwaldt","Partner","EY-Parthenon"
"Ravi Vora","CEO","Catawiki"
"Omri Benayoun","General Partner","Partech"
"Geoff Cook","CEO","The Meet Group"
"Michael Möglich","Head of Market Development","Monese"
"Jan Kleinjan","Director Digital Car Remarketing","CarNext.com"
"Oliver Reppert","CEO","SHARE NOW"
"Omer Gorgulu","Co-Founder | Chief Growth Officer","Twin Science & Robotics"
"Wolf Hisserich","CEO Germany","Qwant"
"Daniel Heer","CEO","Zeotap"
"Michael Shangkuan","CEO","Lingoda"
"Christian Saller","General Partner","HV Holtzbrinck Ventures"
"Alexandra Lougovoy","Marketing & Communications Director","Vulog"
"Mark Beith","Managing Director","Apax Digital"
"Lukas Zirker","Founder / CEO","MidnightDeal"
"Martin Stead","CEO","Nutmeg"
"Alexandre Auriac","Innovation Officer","PAZZI"
"Guy Galonska","Founder & CEO","Infarm"
"Michal Paciorek","Country Manager Germany","PayFit"
"David Avgi","CEO","SafeCharge"
"Christian Strobl","Co-Founder & CEO","Atlantis"
"Nicolas Rabot","Alliance Manager","Zelros"
"Jutta Steiner","Co-Founder & CEO","Parity Technologies"
"Aline Vedder","Investment Manager","Ananda Impact Ventures"
"Fritz Trott","Founder & CEO","Zenjob"
"Ori Gold","CEO & Co-Founder","Bench"
"Christian Kroll","Founder & CEO","Ecosia"
"Stephan Stricker","CEO","Pair Finance"
"Maria Piechnick","Co-Founder & Head of UX","Wandelbots"
"Claas van Delden","Co-CEO","NuCom Group"
"Dirk Hoke","CEO Defence and Space","Airbus Group"
